"0x006f"	"o"
"0x0254"	"O"
"0x00f6"	"o_""
"0x022b"	"o_"_M"
"0x00f5"	"o_~"
"0x1e4f"	"o_~_""
"0x1ed7"	"o_~_F"
"0x1e4d"	"o_~_H"
"0x022d"	"o_~_M"
"0x020d"	"o_B"
"0x00f4"	"o_F"
"0x00f3"	"o_H"
"0x00f2"	"o_L"
"0x014d"	"o_M"
"0x01d2"	"o_R"
"0x0151"	"o_T"
"0x014f"	"o_X"
"0x0298"	"O\"
"0x0070"	"p"
"0x01a5"	"p_<"
"0x1d71"	"p_e"
"0x1d88"	"p_j"
"0x0278"	"p\"
"0x0071"	"q"
"0x0252"	"Q"
"0x02a0"	"q_<"
"0x0072"	"r"
"0x0281"	"R"
"0x027d"	"r`"
"0x0211"	"r_B"
"0x1d72"	"r_e"
"0x0155"	"r_H"
"0x1d89"	"r_j"
"0x0159"	"r_R"
"0x0279"	"r\"
"0x0280"	"R\"
"0x027b"	"r\`"
"0x0073"	"s"
"0x0283"	"S"
"0x0282"	"s`"
"0x1d74"	"s_e"
"0x1d8a"	"s_j"
"0x1d8b"	"S_j"
"0x0074"	"t"
"0x0288"	"t`"
"0x01ad"	"t_<"
"0x0165"	"t_>"
"0x1d75"	"t_e"
"0x0236"	"t\"
"0x02a8"	"tc\"
"0x02a6"	"ts"
"0x02a7"	"tS"
"0x0075"	"u"
"0x028a"	"U"
"0x00fc"	"u_""
"0x01d8"	"u_"_H"
"0x01dc"	"u_"_L"
"0x01d6"	"u_"_M"
"0x01da"	"u_"_R"
"0x0169"	"u_~"
"0x1e79"	"u_~_H"
"0x0215"	"u_B"
"0x00fb"	"u_F"
"0x00fa"	"u_H"
"0x1e75"	"u_k"
"0x00f9"	"u_L"
"0x016b"	"u_M"
"0x01d4"	"u_R"
"0x1e73"	"u_t"
"0x0171"	"u_T"
"0x016d"	"u_X"
"0x0076"	"v"
"0x028c"	"V"
"0x1e7d"	"v_~"
"0x1d8c"	"v_j"
"0x028b"	"v\"
"0x0077"	"w"
"0x028d"	"W"
"0x1e85"	"w_""
"0x1e98"	"w_0"
"0x0175"	"w_F"
"0x1e83"	"w_H"
"0x1e81"	"w_L"
